fonte: 52, destino: 30, peso: 1
fonte: 32, destino: 90, peso: 1
fonte: 33, destino: 31, peso: 1
fonte: 19, destino: 64, peso: 3
fonte: 53, destino: 56, peso: 4
fonte: 45, destino: 18, peso: 4
fonte: 13, destino: 96, peso: 4
fonte: 83, destino: 23, peso: 5
fonte: 83, destino: 56, peso: 3
fonte: 83, destino: 86, peso: 3
fonte: 77, destino: 72, peso: 5
fonte: 53, destino: 65, peso: 5
fonte: 33, destino: 98, peso: 2
fonte: 34, destino: 2, peso: 3
fonte: 34, destino: 10, peso: 4
fonte: 1, destino: 57, peso: 5
fonte: 77, destino: 13, peso: 6
fonte: 77, destino: 63, peso: 5
fonte: 53, destino: 19, peso: 6
fonte: 26, destino: 66, peso: 6
fonte: 26, destino: 58, peso: 2
fonte: 27, destino: 31, peso: 6
fonte: 20, destino: 12, peso: 6
fonte: 78, destino: 33, peso: 7
fonte: 78, destino: 39, peso: 2
fonte: 78, destino: 2, peso: 5
fonte: 79, destino: 21, peso: 1
fonte: 79, destino: 31, peso: 1
fonte: 80, destino: 29, peso: 7
fonte: 39, destino: 99, peso: 7
fonte: 39, destino: 22, peso: 5
fonte: 40, destino: 53, peso: 6
fonte: 40, destino: 66, peso: 4
fonte: 41, destino: 10, peso: 4
fonte: 41, destino: 96, peso: 6
fonte: 6, destino: 29, peso: 7
fonte: 80, destino: 61, peso: 8
fonte: 81, destino: 43, peso: 4
fonte: 64, destino: 25, peso: 8
fonte: 65, destino: 2, peso: 1
fonte: 65, destino: 87, peso: 3
fonte: 66, destino: 46, peso: 3
fonte: 66, destino: 35, peso: 6
fonte: 67, destino: 98, peso: 8
fonte: 27, destino: 5, peso: 8
fonte: 28, destino: 42, peso: 1
fonte: 28, destino: 51, peso: 8
fonte: 28, destino: 73, peso: 3
fonte: 29, destino: 83, peso: 6
fonte: 29, destino: 49, peso: 7
fonte: 29, destino: 42, peso: 6
fonte: 30, destino: 17, peso: 4
fonte: 30, destino: 59, peso: 8
fonte: 14, destino: 73, peso: 8
fonte: 94, destino: 38, peso: 9
fonte: 94, destino: 74, peso: 5
fonte: 95, destino: 68, peso: 2
fonte: 95, destino: 61, peso: 1
fonte: 96, destino: 94, peso: 4
fonte: 96, destino: 48, peso: 8
fonte: 97, destino: 32, peso: 4
fonte: 97, destino: 55, peso: 1
fonte: 97, destino: 69, peso: 4
fonte: 98, destino: 36, peso: 6
fonte: 99, destino: 12, peso: 9
fonte: 99, destino: 54, peso: 5
fonte: 100, destino: 86, peso: 6
fonte: 100, destino: 97, peso: 3
fonte: 100, destino: 50, peso: 1
fonte: 88, destino: 18, peso: 9
fonte: 89, destino: 21, peso: 1
fonte: 89, destino: 17, peso: 6
fonte: 81, destino: 50, peso: 9
fonte: 82, destino: 98, peso: 7
fonte: 7, destino: 41, peso: 3
fonte: 8, destino: 41, peso: 8
fonte: 1, destino: 42, peso: 9
fonte: 1, destino: 3, peso: 2
fonte: 2, destino: 76, peso: 7
fonte: 2, destino: 4, peso: 6
fonte: 2, destino: 45, peso: 7
fonte: 4, destino: 37, peso: 4
fonte: 6, destino: 93, peso: 7
fonte: 91, destino: 20, peso: 10
fonte: 92, destino: 71, peso: 7
fonte: 92, destino: 61, peso: 2
fonte: 94, destino: 24, peso: 4
fonte: 84, destino: 68, peso: 10
fonte: 85, destino: 16, peso: 10
fonte: 85, destino: 2, peso: 5
fonte: 87, destino: 75, peso: 1
fonte: 70, destino: 100, peso: 10
fonte: 72, destino: 47, peso: 1
fonte: 73, destino: 11, peso: 8
fonte: 68, destino: 60, peso: 6
fonte: 62, destino: 12, peso: 3
fonte: 44, destino: 56, peso: 9
fonte: 21, destino: 9, peso: 9
fonte: 24, destino: 15, peso: 1
